id,sku,name,slug,description,short_description,category_id,collection_id,base_price,compare_price,cost,currency_code,weight_value,weight_unit,material_composition,care_instructions,sustainability_notes,production_method,certification_labels,meta_title,meta_description,featured_image_url,status,is_featured,published_at,low_stock_threshold,rating,review_count,view_count,created_at,updated_at
0a78b541-4ae6-4d6c-8b8d-c363df390645,ATH-TROUSERS-MIN-001,Minimalist Trousers,minimalist-trousers,Impeccably tailored trousers with a modern straight-leg silhouette. Made from innovative recycled wool blend that maintains structure while offering comfort. Features precise pleating and a flattering high-waist design.,Modern straight-leg trousers in sustainable recycled wool blend.,6f379a2d-95f0-45dc-a319-00d717bf7c33,45af2d80-87d8-48cb-8744-4caaa1d13ab9,245.00,280.00,,USD,520.000,g,"{""elastane"":5,""recycled_wool"":75,""organic_cotton"":20}","Dry clean recommended, gentle machine wash cold",Made from post-consumer recycled wool. Saves 70% water compared to virgin wool.,Circular design for easy recycling,"[""GRS"",""OEKO-TEX"",""B-Corp""]",Minimalist Trousers - Sustainable Tailoring | Athena,Shop our minimalist trousers made from recycled wool. Perfect tailoring meets sustainable fashion.,/images/minimalist-trousers-detail.png,active,true,2025-09-25 06:14:39.203863+00,5,4.7,19,0,2025-09-25 06:14:39.203863+00,2025-09-25 06:14:39.203863+00
15c5bb75-6eca-4266-9a39-0c8e6dc058eb,ATH-BLOUSE-SILK-001,Essential Silk Blouse,essential-silk-blouse,Timeless silk blouse with clean lines and subtle draping. Made from peace silk (ahimsa silk) that is cruelty-free and biodegradable. Features mother-of-pearl buttons and French seams for durability.,Elegant silk blouse in cruelty-free peace silk with timeless design.,80e05e0e-22da-45e7-8f82-f18f7bbed06d,45af2d80-87d8-48cb-8744-4caaa1d13ab9,225.00,260.00,,USD,180.000,g,"{""peace_silk"":100}","Hand wash or gentle machine wash cold, hang dry, steam iron",Made from cruelty-free peace silk. Biodegradable and renewable resource.,Traditional silk weaving techniques,"[""GOTS"",""Peace Silk Certified""]",Essential Silk Blouse - Cruelty-Free Luxury | Athena,Shop our essential silk blouse made from cruelty-free peace silk. Timeless elegance with ethical luxury.,/images/minimalist-fashion-model.png,active,false,2025-09-25 06:14:39.203863+00,5,4.6,12,8,2025-09-25 06:14:39.203863+00,2025-10-16 09:16:51.803436+00
3d78834c-364e-4e2b-860a-c4a7a0b69150,ATH-SKIRT-MIDI-001,Structured Midi Skirt,structured-midi-skirt,A perfectly structured A-line midi skirt with subtle pleating and a flattering high waist. Made from innovative hemp-cotton blend that gets softer with each wear. Features hidden side zip and internal waist stay.,A-line midi skirt in sustainable hemp-cotton blend with structured design.,797b34ad-4d4b-4ef5-8085-5e8975666b9f,45af2d80-87d8-48cb-8744-4caaa1d13ab9,195.00,225.00,,USD,380.000,g,"{""hemp"":55,""elastane"":5,""organic_cotton"":40}","Machine wash cold, hang dry, iron medium heat",Hemp requires 50% less water than cotton and improves soil health.,Zero-waste pattern cutting,"[""GOTS"",""Hemp Certified"",""B-Corp""]",Structured Midi Skirt - Sustainable Hemp Fashion | Athena,Discover our structured midi skirt in sustainable hemp-cotton blend. Classic silhouette meets eco-innovation.,/images/minimalist-fashion-model.png,active,false,2025-09-25 06:14:39.203863+00,5,4.5,8,21,2025-09-25 06:14:39.203863+00,2025-11-05 11:08:05.428672+00
4bb3b0b1-dbf6-42e8-9e41-1e535b0b2473,ATH-WRAP-DRESS-001,Signature Wrap Dress,signature-wrap-dress,Our most versatile piece - a wrap dress that transitions effortlessly from day to night. Made from innovative Lyocell-silk blend with a fluid drape and flattering silhouette. Features three-quarter sleeves and midi length.,Versatile wrap dress in Lyocell-silk blend with fluid drape and midi length.,797b34ad-4d4b-4ef5-8085-5e8975666b9f,,315.00,365.00,,USD,410.000,g,"{""lyocell"":70,""peace_silk"":30}","Hand wash cold or gentle machine wash, hang dry, steam iron",Lyocell from sustainably managed forests. Peace silk is cruelty-free.,Zero-waste design with pattern optimization,"[""FSC"",""Peace Silk Certified"",""OEKO-TEX""]",Signature Wrap Dress - Versatile Sustainable Fashion | Athena,Discover our signature wrap dress in Lyocell-silk blend. Versatile elegance meets sustainable luxury.,/images/featured-dress.png,active,true,2025-09-25 06:14:39.203863+00,5,4.9,42,0,2025-09-25 06:14:39.203863+00,2025-09-25 06:14:39.203863+00
4efd832d-5130-4a94-8d8b-8b36a19b9a4f,ATH-TANK-ESS-001,Essential Tank Top,essential-tank-top,The perfect layering piece made from ultra-soft organic cotton jersey. Features a classic scoop neckline and relaxed fit that works under blazers or on its own. Pre-shrunk and designed to maintain shape wash after wash.,"Classic tank top in soft organic cotton jersey, perfect for layering.",80e05e0e-22da-45e7-8f82-f18f7bbed06d,,65.00,78.00,,USD,120.000,g,"{""organic_cotton"":100}","Machine wash cold, tumble dry low or hang dry",Made from GOTS-certified organic cotton. Supports regenerative farming practices.,Fair trade manufacturing,"[""GOTS"",""Fair Trade"",""B-Corp""]",Essential Tank Top - Organic Cotton Basics | Athena,Shop our essential tank top in organic cotton. Perfect layering piece meets sustainable basics.,/images/minimalist-fashion-model.png,active,false,2025-09-25 06:14:39.203863+00,5,4.3,28,4,2025-09-25 06:14:39.203863+00,2025-10-16 09:16:51.284779+00
60ba91af-f752-4369-9c57-1e6c106a0ff7,ATH-BLAZER-WHITE-001,Essential White Blazer,essential-white-blazer,The perfect white blazer that transitions seamlessly from boardroom to brunch. Cut from premium TENCEL Lyocell with a structured shoulder and tailored waist. This versatile piece is designed to be your wardrobe workhorse for years to come.,Classic white blazer in sustainable TENCEL Lyocell with structured tailoring.,7027a5d7-cf55-424d-bc23-d0a110de4440,45af2d80-87d8-48cb-8744-4caaa1d13ab9,395.00,450.00,,USD,680.000,g,"{""elastane"":2,""tencel_lyocell"":88,""recycled_polyester"":10}","Dry clean only for best results, or gentle machine wash cold",TENCEL Lyocell is made from sustainably sourced eucalyptus. Fully biodegradable.,Zero-waste manufacturing process,"[""FSC"",""OEKO-TEX"",""Cradle to Cradle""]",Essential White Blazer - Sustainable Professional Wear | Athena,Discover the perfect white blazer made from sustainable TENCEL Lyocell. Professional elegance meets eco-luxury.,/images/white-blazer-model.png,active,true,2025-09-25 06:14:39.203863+00,5,4.9,31,0,2025-09-25 06:14:39.203863+00,2025-09-25 06:14:39.203863+00
6d185e0d-0108-4d94-9ef0-19508a998b32,ATH-ARCH-DRESS-001,Architectural Midi Dress,architectural-midi-dress,"A masterpiece of minimalist design, this midi dress features clean architectural lines and a structured silhouette. Crafted from certified organic cotton with a subtle drape that flatters every figure. The dress embodies our commitment to timeless elegance and sustainable luxury.",Minimalist midi dress with architectural lines and sustainable organic cotton construction.,797b34ad-4d4b-4ef5-8085-5e8975666b9f,45af2d80-87d8-48cb-8744-4caaa1d13ab9,285.00,320.00,,USD,450.000,g,"{""elastane"":5,""organic_cotton"":95}","Machine wash cold, hang dry, iron on medium heat",Made from GOTS-certified organic cotton. Zero-waste pattern cutting reduces fabric waste by 40%.,Ethical manufacturing in certified facilities,"[""GOTS"",""OEKO-TEX"",""B-Corp""]",Architectural Midi Dress - Sustainable Luxury Fashion | Athena,Shop our signature architectural midi dress made from certified organic cotton. Timeless design meets sustainable luxury.,/images/minimalist-dress-silhouette.png,active,true,2025-09-25 06:14:39.203863+00,5,4.8,24,0,2025-09-25 06:14:39.203863+00,2025-09-25 06:14:39.203863+00
8c00f99d-6885-475a-af77-3e6ac08ef532,ATH-CULOTTES-WIDE-001,Wide-Leg Culottes,wide-leg-culottes,Flowing wide-leg culottes with a sophisticated drape and comfortable elastic waistband. Made from innovative TENCEL Modal that feels like silk but washes like cotton. Perfect for both office and weekend wear.,Flowing wide-leg culottes in sustainable TENCEL Modal with elegant drape.,6f379a2d-95f0-45dc-a319-00d717bf7c33,,165.00,195.00,,USD,290.000,g,"{""elastane"":5,""tencel_modal"":95}","Machine wash cold, hang dry, steam iron if needed",TENCEL Modal made from sustainably sourced beech trees. 95% less water than cotton.,Low-impact dyeing process,"[""FSC"",""OEKO-TEX"",""EU Ecolabel""]",Wide-Leg Culottes - Sustainable Comfort | Athena,Discover our wide-leg culottes in sustainable TENCEL Modal. Comfortable elegance meets eco-innovation.,/images/minimalist-fashion-model.png,active,false,2025-09-25 06:14:39.203863+00,5,4.4,14,31,2025-09-25 06:14:39.203863+00,2025-11-05 09:57:19.489841+00
c6e7a4eb-7fc7-44ca-81e7-07cda5bab84c,ATH-SWEATER-CASH-001,Minimalist Cashmere Sweater,minimalist-cashmere-sweater,Ultra-soft cashmere sweater with a relaxed fit and clean lines. Made from responsibly sourced cashmere with full traceability to the source. Features ribbed cuffs and hem with a slightly oversized silhouette.,"Relaxed cashmere sweater in responsibly sourced, traceable cashmere.",80e05e0e-22da-45e7-8f82-f18f7bbed06d,,485.00,550.00,,USD,320.000,g,"{""responsible_cashmere"":100}","Hand wash cold or dry clean, lay flat to dry",Sourced from farms practicing regenerative grazing. Full supply chain transparency.,Traditional knitting techniques by skilled artisans,"[""RWS"",""SFA"",""B-Corp""]",Minimalist Cashmere Sweater - Responsible Luxury | Athena,Shop our minimalist cashmere sweater made from responsibly sourced cashmere. Luxury comfort meets ethical sourcing.,/images/minimalist-fashion-model.png,active,false,2025-09-25 06:14:39.203863+00,5,4.8,21,21,2025-09-25 06:14:39.203863+00,2025-11-05 11:03:05.274701+00
f3a18c2d-046c-4738-b982-76bbce5e60a0,ATH-COAT-ARCH-001,Architectural Coat,architectural-coat,"A statement coat that embodies architectural precision. Features clean geometric lines, structured shoulders, and a dramatic silhouette. Crafted from innovative recycled cashmere blend for ultimate luxury and sustainability.",Structured coat with architectural design in sustainable recycled cashmere.,66b2f329-c778-486e-9b75-98415018b362,45af2d80-87d8-48cb-8744-4caaa1d13ab9,695.00,795.00,,USD,1200.000,g,"{""recycled_wool"":35,""organic_cotton"":5,""recycled_cashmere"":60}",Professional dry clean only,Made from post-consumer recycled cashmere. Saves 90% water vs. virgin cashmere production.,Artisan craftsmanship with traditional techniques,"[""GRS"",""RWS"",""B-Corp""]",Architectural Coat - Luxury Sustainable Outerwear | Athena,Discover our architectural coat in recycled cashmere. Statement outerwear meets sustainable luxury.,/images/minimalist-coat-architectural.png,active,true,2025-09-25 06:14:39.203863+00,5,4.9,15,0,2025-09-25 06:14:39.203863+00,2025-09-25 06:14:39.203863+00
